Compound;Band_gap
Mn2SiO4;3,25
Mn4SiO7;1,52
Mn7SiO12;3,15
AlSi2O5;9,1
Fe2SiO4;7,8
Y2SiO5;6,14
ZrSiO4;5,9
In2Si2O7;5,06
Zn2SiO4;5,88
Mn3Co2O8;0,94
MnCoO3;2,37
MnAl2O4;2,25
Fe2MnO4;1,83
Cr2MnO4;3,65
Mn2Y2O7;1,86
MnSnO3;2,05
Ga2MnO4;2,43
Mn2TiO4;2,45
MnTiO3;3,18
MnMoO4;1,96
Mn2Sc2O7;2,11
Mn3WO6;2,59
MnWO4;2,8
Mn3Nb6O11;1,22
Mn4Nb2O9;2,93
MnNb2O6;2,7
Mn2NiO4;2,1
MnNi6O8;2,1
CuMnO2;1,31
Mn2ZnO4;1,88
Mn2V2O7;1,8
Mn3V2O8;2,65
MnV2O4;1,95
MnV2O6;2,15
Co2GeO4;3,16
Fe2CoO4;2,31
Cr2CoO4;3,23
Ga2CoO4;1,63
CoTiO3;2,28
CoMoO4;1,75
CoWO4;2,3
NbCoO4;2,25
CoV2O6;2,25
Fe2GeO4;2,3
Ge2In2O7;4,43
Zn2GeO4;4,1
Al2FeO4;1,78
Al5Y3O12;6,5
AlYO3;7,9
Al2W3O12;3,11
AlNbO4;3,63
Al2CuO4;2,15
AlCuO2;3,53
Al2ZnO4;3,85
AlZn35O36;3,55
AlVO4;3,68
Fe5Y3O12;2,85
FeYO3;2,45
Fe2TiO5;2,2
Fe2WO6;1,5
FeWO4;2
FeNbO4;1,81
Fe2NiO4;2,3
CuFeO2;1,33
ZnFe2O4;1,92
Fe2V4O13;2,25
FeVO4;1,9
FeV2O4;1,9
CrYO3;1,86
CrYO4;3,2
Cr2NiO4;4,1
Cr2ZnO4;3,81
Cr2V4O13;2,52
CrVO4;2,42
Y2Ti2O7;3,5
YInO3;3,16
Y2MoO6;3,41
YTaO4;5,1
YNbO4;4,1
Y2Cu2O5;2,48
YVO3;1,6
YVO4;3,8
Sn2TiO4;1,7
SnWO4;1,6
Nb2SnO6;2,3
Nb2Sn2O7;2,3
NiSnO3;3,75
ZnSnO3;3,6
Zn2SnO4;3,6
InGaO3;3,3
NbGaO4;3,1
NiGa2O4;4,75
CuGa2O4;4,4
CuGaO2;1,47
Ga2ZnO4;4,7
ZrMo2O8;2,62
ZrV2O7;2,12
TiIn2O5;3,02
NiTiO3;2,2
TiZnO3;3,37
Zn2Ti3O8;3,56
InNbO4;3,63
CuInO2;3,9
Mo3Sc2O12;3,93
MoNiO4;1,79
Cu3Mo2O9;2,1
CuMoO4;2,3
Mo2Zn3O9;2,86
Mo3Zn2O8;2,05
ZnMoO4;4,12
CuScO2;3,6
ScVO4;2,7
TaSbO4;3,7
NiWO4;2,6
Cu3WO6;1,85
CuWO4;2,32
ZnWO4;4,15
Nb2NiO6;2,2
Nb2CuO6;3,6
CuNbO3;2,05
NbSbO4;3,1
ZnNb2O6;2,95
Zn3Nb2O8;4,2
Ni2V2O7;2,73
Ni3V2O8;2,66
NiV2O6;2,16
Cu11V6O26;2,49
Cu2V2O7;2,43
Cu3VO4;1,19
Cu5V2O10;1,9
CuVO3;1,3
CuV2O6;1,95
ZnSb2O6;3
ZnV2O4;2,8
ZnV2O6;2,02
Zn2V2O7;2,86
Zn3V2O8;3,5
Zn4V2O9;3,21
ZnCo2O4;2,26
Zn2TiO4;3,1
ZnGa2O4;4,45
SrTiO3;3,25
Sr2TiO4;4
SrZrO3;4,4
SrHfO3;6,1
Sr2Ta2O7;4,6
Sr2Nb2O7;3,9
SrSiO3;4,96
Sr2SiO4;4,01
BaZrO3;4,8
BaWO4;5,52
BaMoO4;4,1
CaMoO4;4,07
CaWO4;4,88
Ca2Nb2O7;3,33
Ca2Ta2O7;4,4
Ca2SiO4;5,3
Ca3Co2O6;1,42
CaGa2O4;3,6
LiCoO2;1,7
LiAlO2;6,2
Li2SnO3;3,64
BaZnO2;2,6
BaMoO4;4,4
BaMnO3;2,66
BaFe4O7;2,18
BaAl2O4;3,34
BaSb2O6;3,46
SrGeO3;3,5
SrWO4;5,08
SrCrO4;2,52
SrMnO3;1,66
SrSb2O6;3,55
Sr2SnO4;4,6
CaSb2O6;3,59
CaSnO3;4,4
MgTi2O5;3,4
MgTiO3;3,5
Mg2TiO4;3,7
MgWO4;4,17
MgCr2O4;3,7
MgMn2O4;2,08
MgCo2O4;2,24
MgIn2O4;3,73
ZnRh2O4;2,3
BiFeO3;2,3
BaTiO3;3,2
Bi4Ti3O12;3,6
BaSnO3;3,1
Cd2SnO4;2
CdIn2O4;2,96
Cd2Ge7O16;4,9
CdGa2O4;3,5
Nb2Hg2O7;1,8
Cd2GeO4;3,15
CdSb2O6;4,1
SrIn2O4;3,6
MgIn2O4;3,3
MgSb2O6;3,6
Bi2WO6;2,77
Bi2MoO6;2,63
BiVO4;2,37
BiOI;1,77
BiPO4;3,85
Ag3PO4;2,42
LiGaO2;5,6
AgGaO2;2,2
ZnB2O4;3
AgCoO2;4,15
CuBi2O4;1,65
BaZrS3;1,5
CdWO4;4,15
PbWO4;4,1
Sn2Ta2O7;3
Sn2Nb2O7;2,3
CaCO3;6
PbMoO4;3,45
CdMoO4;3,71
Bi25FeO40;1,9
SrBi2O5;2,87
SrBi4O7;2,44
CdSnO3;3
Li2Ni8O10;1,4
LiMn2O4;1,16
CoV2O8;2,34
Ag3VO4;2,35
Cu3V2O8;2,4
Ca2Mn3O8;2,4
Bi4V2O11;2,15
MgAl2O4;7,8
MgBi2O6;1,8
ZnBi2O6;1,7
CdV2O4;3,16
CaMnO3;1,41
BaMn2O3;1,17
Sr2Mn2O5;1,22
Ca2Mn2O5;1,29
MnSb2O6;1,56
Ca4Mn2O7;2,58
MnSb2O4;2,65
Ba2MnO3;2,67
BaMn2O8;2,91
Ba3Mn2O8;3,03
Mg6MnO8;3,57
Mn3Ta2O8;1,89
Fe2VO4;1,9
BiFeO3;2,1
Fe2TiO5;2,2
Ag3VO4;2,2
Fe2V4O13;2,25
CaV2O6;2,66
CoAl2O4;1,83
BaWO4;5,26
CuBO2;3,6
ZrMo2O8;3,59
YAsO4;4,5
In6WO12;3,3
InTaO4;3,79
InVO4;3,62
NiTa2O6;2,3
Cu5Ta11O30;2,65
MgNb2O6;4
Mg3V2O8;3,6
CaTiO3;3,6
FeTiO3;2,8
CdTiO3;2,8
PbTiO3;2,75
AgTaO3;3,4
KTaO3;3,6
KNbO3;3,14
NaNbO3;3,08
AgNbO3;2,7
AgVO3;2,4
LiBiO3;1,63
NaBiO3;2,53
KBiO3;2,04
AgBiO3;2,5
BaSi7N10;4,8
Ba2Si5N8;4,5
BaSiN2;4,1
SrTiN2;3,65
Sr2Si5N8;4,7
SrSiN2;4,2
CaSiN2;4,5
Ca2Si5N8;4,9
LiGe2N3;3,9
SrCN2;4,56
Ca3B2N4;4
MgGeN2;3,2
ZnGeN2;3,6
MgSiN2;4,8
ZnSiN2;5,33
ZnSnN2;1,5
Zn2SbN3;1,55
Mg3SbN;1,3
MgSnN2;1,9
MgZrN2;1,5
ZnGeN2;2,5
MnSiN2;3,5
MnGeN2;2,5
LiSi2N3;4,4
Li7VN4;1,1
Li3GaN2;4,15
Li3AlN2;4,4
LiZnN;1,91
Ba2ZnN2;1,3
CaMg2N2;2,56
Ca2ZnN2;1,9
CaZn2N2;1,9
Li3ScN2;2,9
NaSnN;2,5
LiMgN;3,12
